"Tidningsnamn","bib-kod","alias"
"AFTONBLADET","4345612","AB"
"ARBETET (1887)","19962119","Arbetet"
"ARBETET NYHETERNA (ED. GÖTEBORG : 1991)","4dtl4gp42kfj1698","Arbetet"
"ALINGÅS TIDNING","15760000","AT"
"BLEKINGE LÄNS TIDNING","15760702","BLT"
"BONNIERS LITTERÄRA MAGASIN (ONLINE), BLM","3dsjhh091r9ffp9r","BLM"
"BORÅS TIDNING","15761097","BT"
"BORÅS WECKOBLAD","22543464","BW"
"CALMARBLADET","22666421","Calm. Bl."
"CORRESPONDENTEN","3d4r11sd1458s94t","Ups. Corr."
"DAGLIGT ALLEHANDA","13506739","DA"
"DAGENS INDUSTRI","13991095","Di"
"DAGENS NYHETER","13991099","DN"
"ESKILSTUNAKURIREN","15761488","EK"
"FALKÖPINGS TIDNING","15869824","FT"
"FOLKET I BILD/KULTURFRONT","mx5bbtqbk7584lcx","FiB"
"FOLKETS TIDNING","1d3tk306zgb6hgrt","FT"
"GEFLE WECKOBLAD","22572779","GW"
"GEFLEBORGS LÄNS TIDNING (1836)","22551975","Gefleb. L. T."
"GEFLEBORGS LÄNS TIDNING (1889)","0f4kdkj8xlwqxsdb","Gefleb. L. T."
"GÖTEBORGS HANDELS- OCH SJÖFARTSTIDNING (1832)","19225758","GHT"
"GÖTEBORGSPOSTEN","15873371","GP"
"GÖTEBORGSTIDNINGEN (1902)","8pdtrgrp6n5hx3lh","GT"
"GÖTEBORGSTIDNINGEN (1902-1967)","08gt5gslx86s2vmk","GT"
"GT (1967)","js70j1kpgssdn45z","GT"
"GT (1995)","15873313","GT"
"HALLANDS NYHETER","15873620","HN"
"HALLANDSPOSTEN","15873871","HP"
"HELSINGBORGS DAGBLAD","15873963","HD"
"I DAG (GÖTEBORG : 1990)","cm2tg3tt96n3wc9t","I Dag"
"JÖNKÖPINGSPOSTEN","15975087","JP"
"KVÄLLSPOSTEN","15979163","KvP"
"LUNDS DAGBLAD","nzgxgtdhlcm7cqm5","LD"
"MALMÖ TIDNING","jsqqqb8lgjd37n19","MT"
"MARIESTADS WECKOBLAD (MARIESTAD : 1817)","ktr3d7rkhnbqn5zx","MW"
"MARIESTADS WECKOBLAD (MARIESTAD : 1834)","5fcp0xbl31jt1wwv","MW"
"NERIKES ALLEHANDA","15650814","NA"
"NORRKÖPINGS TIDNINGAR","15650837","NT"
"NORRLÄNDSKA SOCIALDEMOKRATEN","15650838","NSD"
"NYA DAGLIGT ALLEHANDA","19227462","NDA"
"NYA LIDKÖPINGSTIDNINGEN","p16kb834mbhqqdrj","NLT"
"NYA WERMLANDSTIDNINGEN","15760600","NWT"
"OSKARSHAMNSTIDNINGEN","15760622","OT"
"POST- OCH INRIKES TIDNINGAR","11653823","PT"
"SKARABORGS LÄNS TIDNING (MARIESTAD : 1849)","t3cv95rgrp114c77","SkLT"
"SKARABORGS LÄNS TIDNING (SKÖVDE : 1884)","15760830","SkLT"
"SKÅNSKA CORRESPONDENTEN","22651584","Sk. Corr"
"SKÅNSKA MERCURIUS","hssmph6vfvrtlk33","Sk. Merk."
"SKÅNSKA POSTEN","4g96pc2x24xddjcb","Sk. Post."
"STOCKHOLMS DAGBLAD","19277277","StD"
"STOCKHOLMSTIDNINGEN (1889)","21575146","StT"
"SUNDSVALLS TIDNING","15761570","ST"
"SVENSKA DAGBLADET","13434192","SvD"
"SYDSVENSKA DAGBLADET","22651590","SDS"
"SYDSVENSKAN","15761578","SDS"
"TELEGRAFEN I WEXJÖ","grrlnmh9d6xh6cr1","T.i.W."
"TROLLHÄTTANS TIDNING (VÄNERSBORG : 1903)","22683557","TTELA"
"TTELA","15873571","TTELA"
"UDDEWALLA WECKOBLAD","gq59p4d5dhzq0xr4","UW"
"UPSALA NYA TIDNING","15873880","UNT"
"VESTMANLANDS LÄNS TIDNING","15873936","VLT"
"VÄSTERBOTTENSKURIREN","15874500","VK"
"VÄSTERGÖTLANDS ANNONSBLAD","q56cts6pncdj1vn2","VA"
"VÄSTERVIKSTIDNINGEN","15874629","VT"
"YSTADS ALLEHANDA","15874668","YA"
"ÖSTGÖTA CORRESPONDENTEN","15875027","ÖC"
"ÖREBRO TIDNING (ÖREBRO : 1806)","22692519","ÖT"
"ÖREBRO TIDNING (ÖREBRO : 1856)","22692522","ÖT"
"ÖREBRO TIDNING (ÖREBRO : 1881)","22692524","ÖT"
"ÖREBROKURIREN (1902)","22692541","ÖK"
